#COS(THETA) S*D(SIG)/D(OMEGA) [NB*GEV**2] Error
-0.76 9.78 0.42
-0.59 7.95 0.35
-0.42 6.93 0.32
-0.25 6.13 0.3
-0.08 5.43 0.28
0.08 5.27 0.28
0.25 5.42 0.26
0.42 5.61 0.28
0.59 6.47 0.28
0.76 7.32 0.33
